Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	833	95	96	1. HANE	0.250000
2	9	Do5	C5	318	318	1	4	833	95	96		0.500000
3	9	Re5	D5	327	327	1	8	417	95	96		0.625000
4	9	Mi5	E5	336	336	1	8	417	95	96		0.750000
5	9	Fa5	F5	340	340	1	16	208	95	96		0.812500
6	9	Sol5	G5	349	349	1	16	208	95	96		0.875000
7	9	Mi5	E5	336	336	1	16	208	95	96		0.937500
8	9	Re5	D5	327	327	1	16	208	95	96		1.000000
9	10	Re5	D5	327	327	1	8	417	95	96		1.125000
11	9	Re5	D5	327	327	4	16	833	95	96		1.375000
12	9	Mi5	E5	336	336	1	8	417	95	96		1.500000
13	9	Re5	D5	327	327	1	8	417	95	96		1.625000
14	9	Mi5	E5	336	336	1	8	417	95	96		1.750000
15	9	Re5	D5	327	327	1	8	417	95	96		1.875000
16	9	Do5	C5	318	318	1	8	417	95	96		2.000000
17	9	Es	Es	-1	-1	1	8	417	100	0		2.125000
18	9	Re5	D5	327	327	1	8	417	95	96		2.250000
19	9	Do5	C5	318	318	1	8	417	95	96		2.375000
20	9	Si4b2	B4b1	312	313	1	8	417	95	96		2.500000
21	9	Do5	C5	318	318	3	16	625	95	96		2.687500
22	9	Si4b2	B4b1	312	313	1	16	208	95	96		2.750000
23	9	Do5	C5	318	318	1	8	417	95	96		2.875000
24	9	Re5	D5	327	327	1	8	417	95	96		3.000000
25	9	Es	Es	-1	-1	1	8	417	100	0		3.125000
26	9	Re5	D5	327	327	1	16	208	95	96		3.187500
27	9	Fa5	F5	340	340	1	16	208	95	96		3.250000
28	9	Mi5	E5	336	336	1	8	417	95	96		3.375000
29	9	Re5	D5	327	327	1	8	417	95	96		3.500000
30	9	Re5	D5	327	327	1	8	417	95	96		3.625000
31	9	Do5	C5	318	318	1	16	208	95	96		3.687500
32	9	Si4b2	B4b1	312	313	1	16	208	95	96		3.750000
33	9	La4	A4	305	305	1	4	833	95	96		4.000000
34	9	La4	A4	305	305	3	16	625	95	96		4.187500
35	9	La5	A5	358	358	1	16	208	95	96		4.250000
36	9	Sol5	G5	349	349	1	8	417	95	96		4.375000
37	9	Fa5	F5	340	340	1	8	417	95	96		4.500000
38	9	Mi5	E5	336	336	3	16	625	95	96		4.687500
39	9	Sol5	G5	349	349	1	16	208	95	96		4.750000
40	9	Fa5	F5	340	340	1	8	417	95	96		4.875000
41	9	Mi5	E5	336	336	1	8	417	95	96		5.000000
42	9	Re5	D5	327	327	3	16	625	95	96		5.187500
43	9	Fa5	F5	340	340	1	16	208	95	96		5.250000
44	9	Mi5	E5	336	336	1	8	417	95	96		5.375000
45	10	Re5	D5	327	327	1	8	417	95	96		5.500000
47	9	Re5	D5	327	327	1	8	417	95	96		5.625000
48	9	Do5	C5	318	318	4	16	833	95	96		5.875000
49	9	Si4b2	B4b1	312	313	1	8	417	100	96		6.000000
50	9	Si4b2	B4b1	312	313	1	8	417	95	96		6.125000
51	9	Do5	C5	318	318	1	4	833	95	96		6.375000
52	9	Re5	D5	327	327	1	8	417	95	96		6.500000
53	9	Re5	D5	327	327	1	4	833	95	96		6.750000
54	9	Mi5b4	E5b4	332	332	1	8	417	95	96		6.875000
55	9	Re5	D5	327	327	1	8	417	95	96		7.000000
56	9	Sol5	G5	349	349	3	16	625	95	96		7.187500
57	9	Fa5#3	F5#4	343	344	1	16	208	95	96		7.250000
58	9	Mi5b2	E5b1	334	335	3	16	625	95	96		7.437500
59	9	Re5	D5	327	327	1	16	208	95	96		7.500000
60	9	Re5	D5	327	327	1	2	1667	95	96		8.000000
