Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
174	9	Es	Es	-1	-1	1	2	1429	100	0		8.222222
175	9	Es	Es	-1	-1	1	8	357	100	0		8.277778
176	9	Re5	D5	327	327	1	4	714	95	96	Bir 	8.388889
177	9	Mi5	E5	336	336	1	8	357	95	96	ni	8.444445
178	9	Mi5	E5	336	336	1	2	1429	95	96	gâh_	8.666667
179	9	Fa5	F5	340	340	3	16	536	99	96	et 	8.750000
180	9	Mi5	E5	336	336	1	16	179	99	90		8.777778
181	9	Re5	D5	327	327	1	8	357	99	96		8.833333
182	9	Mi5	E5	336	336	1	8	357	99	96		8.888889
183	9	Fa5	F5	340	340	1	8	357	99	96		8.944445
184	9	Sol5	G5	349	349	1	8	357	99	96		9.000000
185	9	Mi5	E5	336	336	1	8	357	99	96		9.055555
186	9	Re5	D5	327	327	1	8	357	99	96		9.111111
187	9	Do5#4	C5#4	322	322	1	8	357	99	96		9.166667
188	9	Si4b4	B4b4	310	310	1	8	357	99	96		9.222222
189	9	La4	A4	305	305	1	4	714	95	96		9.333333
190	9	Mi5	E5	336	336	1	8	357	95	96	ne 	9.388889
191	9	Mi5	E5	336	336	1	16	179	99	96	o	9.416667
192	9	Re5	D5	327	327	1	16	179	95	90		9.444445
193	9	Do5#4	C5#4	322	322	3	16	536	99	96	lur 	9.527778
194	9	Si4b4	B4b4	310	310	1	16	179	99	90		9.555555
195	9	Do5#4	C5#4	322	322	1	16	179	99	96		9.583333
196	9	Si4b4	B4b4	310	310	1	16	179	99	90		9.611111
197	9	Si4b4	B4b4	310	310	1	16	179	99	96		9.638889
198	9	La4	A4	305	305	1	16	179	95	90		9.666667
199	9	La4	A4	305	305	3	8	1071	99	96	ha	9.833333
200	9	Sol4	G4	296	296	1	8	357	99	96		9.888889
201	9	La4	A4	305	305	1	8	357	99	96		9.944445
202	9	Si4b4	B4b4	310	310	1	16	179	99	96		9.972222
203	9	La4	A4	305	305	1	16	179	99	90		10.000000
204	9	La4	A4	305	305	3	4	2143	95	96		10.333330
205	9	La5	A5	358	358	1	8	357	95	96	li	10.388890
206	9	La5	A5	358	358	1	16	179	99	96	me 	10.416670
207	9	Sol5	G5	349	349	1	16	179	95	90		10.444440
208	9	Fa5#4	F5#4	344	344	3	16	536	99	96	ey 	10.527780
209	9	Mi5	E5	336	336	1	16	179	99	90		10.555560
210	9	Re5	D5	327	327	1	4	714	95	96		10.666670
211	9	Mi5	E5	336	336	1	8	357	99	96	gon	10.722220
212	9	Fa5#4	F5#4	344	344	1	8	357	99	96		10.777780
213	9	Sol5	G5	349	349	1	8	357	99	96		10.833330
214	9	La5	A5	358	358	1	8	357	99	96		10.888890
215	9	Si5	B5	367	367	1	8	357	99	96		10.944440
216	9	La5	A5	358	358	1	8	357	99	96		11.000000
217	9	La5	A5	358	358	1	8	357	99	96		11.055560
218	9	Sol5	G5	349	349	1	4	714	99	96		11.166670
219	9	Fa5#4	F5#4	344	344	1	8	357	99	96		11.222220
220	9	Fa5#4	F5#4	344	344	1	8	357	99	96		11.277780
221	9	Mi5	E5	336	336	1	8	357	95	96		11.333330
222	9	Sol5	G5	349	349	1	8	357	95	96	ca 	11.388890
223	9	Fa5#4	F5#4	344	344	1	16	179	99	96	de	11.416670
224	9	Mi5	E5	336	336	1	16	179	95	90		11.444440
225	9	Mi5	E5	336	336	1	2	1429	95	96	hen 	11.666670
226	9	Mi5	E5	336	336	1	8	357	95	96	SAZ	11.722220
227	9	Fa5	F5	340	340	1	16	179	95	96	.	11.750000
228	9	Sol5	G5	349	349	1	16	179	95	90	.	11.777780
229	9	Fa5	F5	340	340	1	16	179	95	96	.	11.805560
230	9	Mi5	E5	336	336	1	16	179	95	90	.	11.833330
231	9	Re5	D5	327	327	1	8	357	95	96	.	11.888890
232	9	Do5#4	C5#4	322	322	1	8	357	95	96	.	11.944440
233	9	Re5	D5	327	327	1	8	357	95	96	.	12.000000
234	9	Mi5	E5	336	336	1	4	714	95	96	.	12.111110
