Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
187	9	Re5	D5	327	327	1	4	909	95	96	Ül	28.333330
188	9	La5	A5	358	358	1	8	455	95	96	fet_	28.500000
189	9	Sol5	G5	349	349	1	8	455	99	96	is	28.666670
190	9	Fa5#4	F5#4	344	344	1	8	455	99	96		28.833330
191	9	Mi5	E5	336	336	1	8	455	95	96		29.000000
192	9	Sol5	G5	349	349	1	8	455	99	96	ter	29.166670
193	9	Fa5#4	F5#4	344	344	1	8	455	99	96		29.333330
194	9	Mi5	E5	336	336	1	16	227	99	96		29.416670
195	9	Fa5	F5	340	340	1	16	227	99	96		29.500000
196	9	Mi5	E5	336	336	1	16	227	99	96		29.583330
197	9	Re5	D5	327	327	1	16	227	99	96		29.666670
198	9	Re5	D5	327	327	1	16	227	99	96		29.750000
199	9	Do5#4	C5#4	322	322	1	16	227	99	96		29.833330
200	9	Re5	D5	327	327	1	8	455	95	96		30.000000
201	9	Mi5	E5	336	336	1	8	455	99	96	gön 	30.166670
202	9	Fa5#4	F5#4	344	344	1	8	455	95	96		30.333330
203	9	La5	A5	358	358	1	8	455	95	96	lüm_	30.500000
204	9	Sol5	G5	349	349	1	16	227	99	96	am 	30.583330
205	9	Fa5	F5	340	340	1	16	227	99	96		30.666670
206	9	Mi5	E5	336	336	1	16	227	99	96		30.750000
207	9	Re5	D5	327	327	1	16	227	99	96		30.833330
208	9	Do5#4	C5#4	322	322	1	16	227	99	96		30.916670
209	9	Si4b4	B4b4	310	310	1	16	227	95	96		31.000000
210	9	La4	A4	305	305	1	4	909	99	96	ma	31.333330
211	9	Fa5	F5	340	340	1	8	455	99	96		31.500000
212	9	Mi5	E5	336	336	1	8	455	99	96		31.666670
213	9	Re5	D5	327	327	1	8	455	99	96		31.833330
214	9	Do5#4	C5#4	322	322	1	16	227	99	96		31.916670
215	9	Si4b4	B4b4	310	310	1	16	227	95	96		32.000000
216	9	Re5	D5	327	327	1	8	455	99	96	çâ	32.166670
217	9	Do5#4	C5#4	322	322	1	16	227	99	96		32.250000
218	9	Si4b4	B4b4	310	310	1	16	227	95	96		32.333330
219	9	Si4b4	B4b4	310	310	1	16	227	99	96	re 	32.416670
220	9	La4	A4	305	305	1	16	227	95	96		32.500000
221	9	La4	A4	305	305	1	4	909	95	96	ne  	32.833330
222	9	Es	Es	-1	-1	1	8	455	100	0		33.000000
223	9	La4	A4	305	305	1	16	227	95	96	SAZ	33.083330
224	9	Sol4	G4	296	296	1	16	227	95	96	.	33.166670
225	9	La4	A4	305	305	1	16	227	95	96	.	33.250000
226	9	Si4b4	B4b4	310	310	1	16	227	95	96	.	33.333330
227	9	Do5#4	C5#4	322	322	1	16	227	95	96	.	33.416670
228	9	Re5	D5	327	327	1	16	227	95	96	.	33.500000
229	9	Mi5	E5	336	336	1	16	227	95	96	.	33.583330
230	9	Do5#4	C5#4	322	322	1	16	227	95	96	.	33.666670
231	9	Re5	D5	327	327	1	4	909	95	96	.	34.000000
