Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
102	9	Sol4	G4	296	296	1	8	357	95	96	TESLİM	16.125000
103	9	La4	A4	305	305	1	4	714	95	96		16.375000
104	9	La4	A4	305	305	1	8	357	95	96		16.500000
105	9	La4	A4	305	305	1	4	714	95	96		16.750000
106	9	Sol5	G5	349	349	1	12	238	95	96		16.833330
107	9	Fa5#4	F5#4	344	344	1	12	238	95	96		16.916670
108	9	Sol5	G5	349	349	1	12	238	95	96		17.000000
109	9	Mi5	E5	336	336	3	8	1071	95	96		17.375000
110	9	Re5	D5	327	327	1	16	179	95	96		17.437500
111	9	Do5	C5	318	318	1	16	179	95	96		17.500000
112	9	Re5	D5	327	327	1	4	714	95	96		17.750000
113	9	Mi5	E5	336	336	1	24	119	95	96		17.791670
114	9	Re5	D5	327	327	1	24	119	95	96		17.833330
115	9	Mi5	E5	336	336	1	24	119	95	96		17.875000
116	9	Re5	D5	327	327	1	8	357	95	96		18.000000
117	9	Re5	D5	327	327	1	8	357	95	96		18.125000
118	9	Do5	C5	318	318	1	4	714	95	96		18.375000
119	9	Si4b2	B4b1	312	313	1	8	357	95	96		18.500000
120	9	La4	A4	305	305	1	8	357	95	96		18.625000
121	9	Sol4	G4	296	296	1	8	357	95	96		18.750000
122	9	Fa5	F5	340	340	1	8	357	95	96		18.875000
123	9	Mi5	E5	336	336	1	16	179	95	96		18.937500
124	11	Re5	D5	327	327	1	16	179	95	96		19.000000
125	9	Re5	D5	327	327	3	8	1071	95	96		19.375000
126	9	Do5	C5	318	318	1	8	357	95	96		19.500000
127	9	Re5	D5	327	327	1	8	357	95	96		19.625000
128	9	Mi5	E5	336	336	1	4	714	95	96		19.875000
129	9	Re5	D5	327	327	1	16	179	95	96		19.937500
130	9	Do5	C5	318	318	1	16	179	95	96		20.000000
131	9	Do5	C5	318	318	3	8	1071	95	96		20.375000
132	9	Si4b2	B4b1	312	313	1	8	357	95	96		20.500000
133	9	Es	Es	-1	-1	1	8	357	100	0		20.625000
134	9	Re5	D5	327	327	1	4	714	95	96		20.875000
135	9	Do5	C5	318	318	1	16	179	95	96		20.937500
136	11	Si4b2	B4b1	312	313	1	16	179	95	96		21.000000
137	9	Si4b2	B4b1	312	313	3	8	1071	95	96		21.375000
138	9	La4	A4	305	305	1	8	357	95	96		21.500000
139	9	Es	Es	-1	-1	1	8	357	100	0		21.625000
140	9	Do5	C5	318	318	1	4	714	95	96		21.875000
141	9	Si4b2	B4b1	312	313	1	16	179	95	96		21.937500
142	11	La4	A4	305	305	1	16	179	95	96		22.000000
143	9	La4	A4	305	305	1	4	714	95	96		22.250000
144	9	Re5	D5	327	327	1	12	238	95	96		22.333330
145	9	Do5	C5	318	318	1	12	238	95	96		22.416670
146	9	Re5	D5	327	327	1	12	238	95	96		22.500000
147	9	La4	A4	305	305	1	2	1429	95	96		23.000000
