Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
175	9	Do6	C6	371	371	1	8	500	99	85	Sen	8.333333
176	9	Si5b5	B5b5	362	362	1	8	500	95	83		8.388889
177	10	La5	A5	358	358	1	8	500	99	82	de 	8.444445
178	8	Si5b5	B5b5	362	362	0	0	0	95	80		8.444445
179	9	La5	A5	358	358	1	16	250	99	78	Ley	8.472222
180	10	Sol5	G5	349	349	1	8	500	99	96		8.527778
181	8	La5	A5	358	358	0	0	0	99	96		8.527778
182	9	Fa5#3	F5#4	343	344	1	16	250	99	96		8.555555
183	9	Mi5b3	E5b4	333	332	1	16	250	99	96		8.583333
184	9	Re5	D5	327	327	2	32	250	99	96		8.611111
185	9	Do5	C5	318	318	1	8	500	95	96		8.666667
186	7	Sol5	G5	349	349	4	8	2000	99	96	lâ 	8.888889
187	9	Fa5#3	F5#4	343	344	1	16	250	99	114		8.916667
188	9	Sol5	G5	349	349	1	16	250	99	114		8.944445
189	9	La5	A5	358	358	1	16	250	99	114		8.972222
190	9	Si5b2	B5b1	365	366	1	16	250	99	114		9.000000
191	9	Do6	C6	371	371	1	16	250	99	114		9.027778
192	9	Re6	D6	380	380	1	16	250	99	114		9.055555
193	9	Do6	C6	371	371	1	16	250	99	114		9.083333
194	9	Si5b5	B5b5	362	362	1	16	250	99	114		9.111111
195	9	La5	A5	358	358	1	16	250	99	114		9.138889
196	9	Sol5	G5	349	349	1	16	250	99	114		9.166667
197	9	Fa5#3	F5#4	343	344	1	16	250	99	114		9.194445
198	9	Mi5#4	E5#4	340	340	1	16	250	99	114		9.222222
199	9	Fa5#3	F5#4	343	344	1	8	500	95	114		9.277778
200	9	Fa5#3	F5#4	343	344	1	4	1000	95	114	ben	9.388889
201	10	Fa5#3	F5#4	343	344	1	8	500	95	114	de 	9.444445
202	8	La5	A5	358	358	0	0	0	95	114		9.444445
203	9	Sol5	G5	349	349	3	16	750	99	114	Mec	9.527778
204	9	Fa5#3	F5#4	343	344	1	16	250	99	96		9.555555
205	9	Mi5b3	E5b4	333	332	1	8	500	99	96		9.611111
206	9	Re5	D5	327	327	1	8	500	95	96		9.666667
207	8	Fa5#3	F5#4	343	344	0	0	0	95	96		9.666667
208	12	Mi5b3	E5b4	333	332	3	8	1500	99	96	nûn 	9.833333
209	9	Re5	D5	327	327	1	8	500	99	96		9.888889
210	9	Do6	C6	371	371	4	16	1000	99	96		10.000000
211	9	Do6	C6	371	371	1	16	250	99	96		10.027780
212	9	Si5b5	B5b5	362	362	1	16	250	99	96		10.055560
213	9	La5	A5	358	358	1	16	250	99	96		10.083330
214	9	Sol5	G5	349	349	1	16	250	99	96		10.111110
215	9	Fa5#3	F5#4	343	344	1	16	250	99	96		10.138890
216	9	Mi5b3	E5b4	333	332	1	16	250	99	96		10.166670
217	9	Re5	D5	327	327	1	16	250	99	96		10.194440
218	9	Do5	C5	318	318	1	16	250	99	96		10.222220
219	9	Re5	D5	327	327	1	8	500	95	96		10.277780
220	9	Re5	D5	327	327	3	16	750	99	96	ol	10.361110
221	9	Do5	C5	318	318	1	16	250	95	96		10.388890
222	9	Do5	C5	318	318	1	16	250	99	96	mak 	10.416670
223	9	Si4b1	B4b1	313	313	1	16	250	95	96		10.444440
224	9	Si4b1	B4b1	313	313	1	2	2000	95	96	is	10.666670
225	9	Do6	C6	371	371	1	12	333	99	96	ti	10.703700
226	9	Si5b1	B5b1	366	366	1	12	333	99	96		10.740740
227	9	Do6	C6	371	371	1	12	333	99	96		10.777780
228	9	Si5b5	B5b5	362	362	1	12	333	99	96		10.814810
229	9	La5	A5	358	358	1	12	333	99	96		10.851850
230	9	Si5b5	B5b5	362	362	1	12	333	99	96		10.888890
231	9	La5	A5	358	358	1	12	333	99	96		10.925930
232	9	Sol5	G5	349	349	1	12	333	99	96		10.962960
233	9	La5	A5	358	358	1	12	333	99	96		11.000000
234	9	Sol5	G5	349	349	1	12	333	99	96		11.037040
235	9	Fa5#3	F5#4	343	344	1	12	333	99	96		11.074070
236	9	Sol5	G5	349	349	1	12	333	99	96		11.111110
237	9	Fa5#3	F5#4	343	344	1	16	250	99	96		11.138890
238	9	Mi5b3	E5b4	333	332	1	16	250	99	96		11.166670
239	9	Mi5b3	E5b4	333	332	1	16	250	99	96		11.194440
240	9	Re5	D5	327	327	1	16	250	99	96		11.222220
241	9	Re5	D5	327	327	1	8	500	95	96		11.277780
242	9	Re5	D5	327	327	1	4	1000	99	96	dâ	11.388890
243	9	Si4b1	B4b1	313	313	1	8	500	99	96		11.444440
244	9	Do5	C5	318	318	1	8	500	99	96		11.500000
245	9	Re5	D5	327	327	1	8	500	99	96		11.555560
246	9	Mi5b3	E5b4	333	332	2	16	500	95	96		11.611110
247	9	Re5	D5	327	327	1	16	250	99	96	dı 	11.638890
248	9	Do5	C5	318	318	1	16	250	95	96		11.666670
249	9	Si4b1	B4b1	313	313	3	8	1500	95	96	var  	11.833330
250	9	Si5b1	B5b1	366	366	1	16	250	95	96	SAZ	11.861110
251	9	Do6	C6	371	371	1	16	250	95	96	.	11.888890
252	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	11.916670
253	9	La5#4	A5#4	362	362	1	16	250	95	96	.	11.944440
254	9	Sol5	G5	349	349	1	16	250	95	96	.	11.972220
255	9	La5#4	A5#4	362	362	1	16	250	95	96	.	12.000000
256	9	Si5b1	B5b1	366	366	3	16	750	95	96	.	12.083330
