Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
47	9	Sol5	G5	349	349	1	8	333	95	96	TESLİM	4.1
48	9	La5	A5	358	358	1	8	333	95	96		4.2
49	9	La5	A5	358	358	1	8	333	95	96		4.3
50	9	La5	A5	358	358	1	16	167	95	96		4.35
51	9	Do6	C6	371	371	1	16	167	95	96		4.4
52	9	Si5b2	B5b1	365	366	1	16	167	95	96		4.45
53	9	La5	A5	358	358	1	16	167	95	96		4.5
54	9	Sol5	G5	349	349	1	16	167	95	96		4.55
55	9	Fa5	F5	340	340	1	16	167	95	96		4.6
56	9	Mi5	E5	336	336	1	16	167	95	96		4.65
57	9	Re5	D5	327	327	1	16	167	95	96		4.7
58	9	Do5	C5	318	318	1	16	167	95	96		4.75
59	9	Si4b2	B4b1	312	313	1	16	167	95	96		4.8
60	9	La4	A4	305	305	1	8	333	95	96		4.9
61	9	La5	A5	358	358	1	8	333	95	96		5
62	9	Sol5	G5	349	349	1	8	333	95	96		5.1
63	9	La5	A5	358	358	1	16	167	95	96		5.15
64	9	Sol5	G5	349	349	1	16	167	95	96		5.2
65	9	Fa5	F5	340	340	1	8	333	95	96		5.3
66	9	Sol5	G5	349	349	1	16	167	95	96		5.35
67	9	Fa5	F5	340	340	1	16	167	95	96		5.4
68	9	Mi5	E5	336	336	1	8	333	95	96		5.5
69	9	Fa5	F5	340	340	1	16	167	95	96		5.55
70	9	Mi5	E5	336	336	1	16	167	95	96		5.6
71	9	Re5	D5	327	327	1	8	333	95	96		5.7
72	9	Mi5	E5	336	336	1	16	167	95	96		5.75
73	9	Re5	D5	327	327	1	16	167	95	96		5.8
74	9	Do5	C5	318	318	1	16	167	95	96		5.85
75	9	Re5	D5	327	327	1	16	167	95	96		5.9
76	9	Mi5	E5	336	336	1	16	167	95	96		5.95
77	9	Sol5	G5	349	349	1	16	167	95	96		6
78	9	Fa5	F5	340	340	1	4	667	95	96		6.2
79	9	Fa5	F5	340	340	1	16	167	95	96		6.25
80	9	Mi5	E5	336	336	1	16	167	95	96		6.3
81	9	Mi5	E5	336	336	3	16	500	95	96		6.45
82	9	Re5	D5	327	327	1	16	167	95	96		6.5
83	9	Re5	D5	327	327	1	8	333	95	96		6.6
84	9	Mi5	E5	336	336	1	8	333	95	96		6.7
85	9	Re5	D5	327	327	1	8	333	95	96		6.8
86	9	Do5	C5	318	318	1	8	333	95	96		6.9
87	9	Si4b2	B4b1	312	313	1	8	333	95	96		7
88	9	Sol5	G5	349	349	1	8	333	95	96		7.1
89	9	Fa5	F5	340	340	1	8	333	95	96		7.2
90	9	Mi5	E5	336	336	1	8	333	95	96		7.3
91	9	La5	A5	358	358	1	8	333	95	96		7.4
92	9	Sol5	G5	349	349	1	8	333	95	96		7.5
93	9	Fa5	F5	340	340	1	8	333	95	96		7.6
94	9	Mi5	E5	336	336	1	8	333	95	96		7.7
95	9	Re5	D5	327	327	1	8	333	95	96		7.8
96	9	Do5	C5	318	318	1	8	333	95	96		7.9
97	9	Re5	D5	327	327	1	8	333	95	96		8
98	9	Si4b2	B4b1	312	313	1	16	167	95	96		8.05
99	9	Do5	C5	318	318	1	16	167	95	96		8.1
100	9	Re5	D5	327	327	1	16	167	95	96		8.15
101	9	Mi5	E5	336	336	1	16	167	95	96		8.2
102	9	Re5	D5	327	327	1	16	167	95	96		8.25
103	9	Do5	C5	318	318	1	16	167	95	96		8.3
104	9	Do5	C5	318	318	3	16	500	95	96		8.45
105	9	Si4b2	B4b1	312	313	1	16	167	95	96		8.5
106	9	Si4b2	B4b1	312	313	1	16	167	95	96		8.55
107	9	La4	A4	305	305	1	16	167	95	96		8.6
108	9	Si4b2	B4b1	312	313	1	16	167	95	96		8.65
109	11	La4	A4	305	305	1	16	167	95	96		8.7
110	9	La4	A4	305	305	1	4	667	95	96		8.9
111	9	Es	Es	-1	-1	1	8	333	100	0		9
