Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
153	9	La4	A4	305	305	1	4	833	95	96	Var	32.400000
154	9	Mi5	E5	336	336	1	4	833	95	96	sın 	32.800000
155	9	Es	Es	-1	-1	1	8	417	100	0		33.000000
156	9	Fa5#5	F5#5	345	345	1	8	417	95	96	gö	33.200000
158	9	Fa5#5	F5#5	345	345	1	16	208	99	96	nül_	33.300000
159	9	Mi5	E5	336	336	1	16	208	95	96		33.400000
160	9	Mi5	E5	336	336	3	8	1250	95	96	aş	34.000000
161	9	Do5#3	C5#4	321	322	3	16	625	99	96	kın	34.300000
162	9	Si4	B4	314	314	1	16	208	95	96		34.400000
163	9	Si4	B4	314	314	1	4	833	95	96	la 	34.800000
164	9	Si4	B4	314	314	1	16	208	99	96	ha	34.900000
165	9	La4	A4	305	305	1	16	208	95	96		35.000000
166	9	La4	A4	305	305	1	2	1666	95	96	râb 	35.800000
167	9	Es	Es	-1	-1	1	8	417	100	0		36.000000
168	9	Sol5	G5	349	349	1	8	417	99	96	ol	36.200000
169	9	Fa5#5	F5#5	345	345	1	8	417	95	96		36.400000
170	9	Mi5	E5	336	336	1	8	417	99	96	sun_	36.600000
171	9	Re5	D5	327	327	1	8	417	95	96		36.800000
172	9	Do5#3	C5#4	321	322	1	8	417	95	96	e	37.000000
173	9	Mi5	E5	336	336	1	8	417	99	96	fen	37.200000
175	9	Fa5#5	F5#5	345	345	1	16	208	99	96		37.300000
176	9	Mi5	E5	336	336	1	16	208	95	96		37.400000
177	9	Mi5	E5	336	336	1	4	833	95	96	dim  	37.800000
178	9	Es	Es	-1	-1	1	8	417	100	0		38.000000
179	9	Sol5	G5	349	349	1	8	417	95	96	SAZ	38.200000
180	9	Fa5#5	F5#5	345	345	1	8	417	95	96	.	38.400000
181	9	Mi5	E5	336	336	1	8	417	95	96	.	38.600000
182	9	Re5	D5	327	327	1	8	417	95	96	.	38.800000
183	9	Do5#3	C5#4	321	322	1	8	417	95	96	.	39.000000
184	9	Mi5	E5	336	336	1	8	417	95	96	.	39.200000
185	9	Fa5#5	F5#5	345	345	1	16	208	95	96	.	39.300000
186	9	Mi5	E5	336	336	1	16	208	95	96	.	39.400000
188	9	Mi5	E5	336	336	1	4	833	95	96	.	39.800000
189	9	Es	Es	-1	-1	1	8	417	100	0		40.000000
190	9	Sol5	G5	349	349	1	8	417	99	96	Câ	40.200000
191	9	Fa5#5	F5#5	345	345	1	8	417	95	96		40.400000
193	9	Mi5	E5	336	336	1	8	417	99	96	nâ	40.600000
194	9	Re5	D5	327	327	1	8	417	99	96		40.800000
195	9	Do5#3	C5#4	321	322	1	16	208	99	96		40.900000
196	9	Si4	B4	314	314	1	16	208	95	96		41.000000
197	9	Re5	D5	327	327	1	8	417	95	96	nı	41.200000
198	9	Do5#3	C5#4	321	322	1	16	208	99	96	ma 	41.300000
199	9	Si4	B4	314	314	1	16	208	95	96		41.400000
200	9	Si4	B4	314	314	3	8	1250	95	96	nezr_	42.000000
201	9	La4	A4	305	305	1	4	833	95	96	ey	42.400000
202	9	Re5	D5	327	327	1	8	417	95	96	le	42.600000
203	9	Do5#3	C5#4	321	322	1	8	417	99	96	mi	42.800000
204	9	Si4	B4	314	314	1	8	417	95	96		43.000000
205	9	La4	A4	305	305	1	4	833	99	96	şim 	43.400000
206	9	Mi5	E5	336	336	1	4	833	95	96		43.800000
207	9	Es	Es	-1	-1	1	8	417	100	0		44.000000
208	9	Do5#3	C5#4	321	322	1	8	417	99	96	câ	44.200000
209	9	Si4	B4	314	314	1	8	417	95	96		44.400000
210	9	La4	A4	305	305	1	8	417	95	96	nı	44.600000
211	9	Sol4#3	G4#4	299	300	1	8	417	99	96	mı 	44.800000
212	9	Fa4#5	F4#5	292	292	1	16	208	99	96		44.900000
213	9	Mi4	E4	283	283	1	16	208	95	96		45.000000
214	9	Do5#3	C5#4	321	322	1	8	417	99	96	ken	45.200000
215	9	Si4	B4	314	314	1	16	208	99	96		45.300000
216	9	La4	A4	305	305	1	16	208	95	96		45.400000
217	9	La4	A4	305	305	1	4	833	95	96	dim  	45.800000
218	9	Es	Es	-1	-1	1	8	417	100	0		46.000000
