Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
112	9	Sol4	G4	296	296	1	8	435	95	96	TESLİM	14.125000
113	9	Do5	C5	318	318	1	4	870	95	96		14.375000
114	9	Do5	C5	318	318	1	16	217	95	96		14.437500
115	9	Si4b1	B4b1	313	313	1	16	217	95	96		14.500000
116	9	Si4b1	B4b1	313	313	3	16	652	95	96		14.687500
117	9	La4	A4	305	305	1	16	217	95	96		14.750000
118	9	La4	A4	305	305	1	16	217	95	96		14.812500
119	9	Do5	C5	318	318	1	16	217	95	96		14.875000
120	9	Si4b1	B4b1	313	313	1	16	217	95	96		14.937500
121	9	La4	A4	305	305	1	16	217	95	96		15.000000
122	9	La4	A4	305	305	3	8	1304	95	96		15.375000
123	9	Sol4	G4	296	296	1	8	435	95	96		15.500000
124	9	Fa4#4	F4#4	291	291	3	16	652	95	96		15.687500
125	9	Mi4	E4	283	283	1	16	217	95	96		15.750000
126	9	Re4	D4	274	274	1	4	870	95	96		16.000000
127	9	Re4	D4	274	274	3	16	652	95	96		16.187500
128	9	Mi4	E4	283	283	1	16	217	95	96		16.250000
129	9	Fa4#4	F4#4	291	291	1	8	435	95	96		16.375000
130	9	Sol4	G4	296	296	1	8	435	95	96		16.500000
131	9	Mi4	E4	283	283	3	16	652	95	96		16.687500
132	9	Fa4#4	F4#4	291	291	1	16	217	95	96		16.750000
133	9	Sol4	G4	296	296	1	8	435	95	96		16.875000
134	9	La4	A4	305	305	1	8	435	95	96		17.000000
135	9	Fa4#4	F4#4	291	291	3	16	652	95	96		17.187500
136	9	Sol4	G4	296	296	1	16	217	95	96		17.250000
137	9	La4	A4	305	305	1	8	435	95	96		17.375000
138	9	Si4b1	B4b1	313	313	1	8	435	95	96		17.500000
139	9	Do5	C5	318	318	1	16	217	95	96		17.562500
140	9	Si4b1	B4b1	313	313	1	16	217	95	96		17.625000
141	9	Do5	C5	318	318	1	16	217	95	96		17.687500
142	9	Mi5	E5	336	336	1	16	217	95	96		17.750000
143	9	Re5	D5	327	327	1	8	435	95	96		17.875000
144	9	Do5	C5	318	318	1	8	435	95	96		18.000000
145	9	Si4b1	B4b1	313	313	1	16	217	95	96		18.062500
146	9	Do5	C5	318	318	1	16	217	95	96		18.125000
147	9	Si4b1	B4b1	313	313	1	16	217	95	96		18.187500
148	9	La4	A4	305	305	1	16	217	95	96		18.250000
149	9	Si4b1	B4b1	313	313	1	16	217	95	96		18.312500
150	9	La4	A4	305	305	1	16	217	95	96		18.375000
151	9	Sol4	G4	296	296	1	8	435	95	96		18.500000
152	9	Es	Es	-1	-1	1	8	435	100	0		18.625000
153	9	La4	A4	305	305	1	16	217	95	96		18.687500
154	9	Sol4	G4	296	296	1	16	217	95	96		18.750000
155	9	La4	A4	305	305	1	8	435	95	96		18.875000
156	9	Do5	C5	318	318	1	8	435	95	96		19.000000
157	9	Si4b1	B4b1	313	313	3	16	652	95	96		19.187500
158	9	Sol4	G4	296	296	1	16	217	95	96		19.250000
159	9	La4	A4	305	305	1	8	435	95	96		19.375000
160	9	Fa4#4	F4#4	291	291	1	8	435	95	96		19.500000
161	9	Sol4	G4	296	296	1	2	1739	95	96		20.000000
162	9	Fa4#4	F4#4	291	291	1	8	435	95	96		20.125000
163	9	Mi4	E4	283	283	1	16	217	95	96		20.187500
164	9	Re4	D4	274	274	1	16	217	95	96		20.250000
165	9	Si4b1	B4b1	313	313	1	8	435	95	96		20.375000
166	9	La4	A4	305	305	1	16	217	95	96		20.437500
167	9	Sol4	G4	296	296	1	16	217	95	96		20.500000
168	9	Sol4	G4	296	296	3	8	1304	95	96		20.875000
