Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b2	B4b1	312	313	1	8	385	95	96	Bu 	0.125000
2	9	Do5	C5	318	318	3	8	1154	95	96	ak	0.500000
3	9	Do5	C5	318	318	1	4	769	95	96	şam 	0.750000
4	9	Do5	C5	318	318	1	4	769	95	96	ay	1.000000
5	9	Do5	C5	318	318	1	8	385	95	96	ı	1.125000
6	9	Re5b3	D5b4	324	323	1	4	769	99	96	şı	1.375000
7	9	Do5	C5	318	318	1	8	385	95	96		1.500000
8	9	Do5	C5	318	318	1	16	192	99	96	ğın	1.562500
9	9	Si4b2	B4b1	312	313	1	16	192	99	96		1.625000
10	9	Si4b2	B4b1	312	313	1	16	192	99	96		1.687500
11	9	La4	A4	305	305	1	16	192	95	96		1.750000
12	9	La4	A4	305	305	1	4	769	95	96	da 	2.000000
13	9	Es	Es	-1	-1	1	8	385	100	0		2.125000
14	9	Sol4	G4	296	296	1	8	385	95	96	se	2.250000
15	9	La4	A4	305	305	1	8	385	95	96	nin	2.375000
16	9	Si4b2	B4b1	312	313	1	8	385	95	96	le 	2.500000
17	9	Do5	C5	318	318	1	8	385	99	96	bu	2.625000
18	9	Re5b3	D5b4	324	323	1	16	192	99	96		2.687500
19	9	Mi5	E5	336	336	1	16	192	95	96		2.750000
20	9	Re5b3	D5b4	324	323	1	16	192	99	96	lu	2.812500
21	9	Do5	C5	318	318	1	16	192	95	96		2.875000
22	9	Si4b2	B4b1	312	313	1	16	192	99	96	şa	2.937500
23	9	Re5b3	D5b4	324	323	1	16	192	95	96		3.000000
24	9	Do5	C5	318	318	1	2	1538	99	96	lım  	3.500000
25	9	Re5b3	D5b4	324	323	3	32	288	99	96		3.593750
26	9	Do5	C5	318	318	1	32	96	99	96		3.625000
27	9	Re5b3	D5b4	324	323	1	8	385	99	96		3.750000
28	9	Mi5	E5	336	336	3	32	288	99	96		3.843750
29	9	Re5b3	D5b4	324	323	1	32	96	99	96		3.875000
30	9	Mi5	E5	336	336	1	8	385	95	96		4.000000
31	9	Es	Es	-1	-1	1	8	385	100	0		4.125000
32	9	Fa5	F5	340	340	1	8	385	95	96	se	4.250000
33	9	Mi5	E5	336	336	1	8	385	95	96	nin	4.375000
34	9	Re5b3	D5b4	324	323	1	8	385	95	96	le 	4.500000
35	9	Do5	C5	318	318	1	8	385	99	96	bu	4.625000
36	9	La5b4	A5b4	354	354	1	8	385	95	96		4.750000
37	9	Sol5	G5	349	349	1	16	192	99	96	lu	4.812500
38	9	Fa5	F5	340	340	1	16	192	95	96		4.875000
39	9	Mi5	E5	336	336	1	16	192	99	96	şa	4.937500
40	9	Re5b3	D5b4	324	323	1	16	192	95	96		5.000000
41	9	Do5	C5	318	318	1	8	385	99	96	lım  	5.125000
42	9	Re5b3	D5b4	324	323	1	4	769	99	96		5.375000
43	9	Re5b3	D5b4	324	323	1	16	192	99	96		5.437500
44	9	Do5	C5	318	318	1	16	192	99	96		5.500000
45	9	Do5	C5	318	318	1	16	192	99	96		5.562500
46	9	Si4b2	B4b1	312	313	1	16	192	99	96		5.625000
47	9	Si4b2	B4b1	312	313	1	16	192	99	96		5.687500
48	9	La4	A4	305	305	1	16	192	99	96		5.750000
49	9	Si4b2	B4b1	312	313	1	4	769	95	96		6.000000
