Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
35	9	Si4b1	B4b1	313	313	1	4	741	95	96	1. HANE	4.2
36	9	La4#4	A4#4	309	309	1	8	370	95	96		4.3
37	9	Sol4	G4	296	296	1	4	741	95	96		4.5
38	9	Si4b1	B4b1	313	313	1	8	370	95	96		4.6
39	9	Do5	C5	318	318	1	16	185	95	96		4.65
40	9	Si4b1	B4b1	313	313	1	16	185	95	96		4.7
41	9	La4#4	A4#4	309	309	1	4	741	95	96		4.9
42	9	Sol4	G4	296	296	1	8	370	95	96		5
43	9	Si4b1	B4b1	313	313	1	4	741	95	96		5.2
44	9	La4#4	A4#4	309	309	1	8	370	95	96		5.3
45	9	Si4b1	B4b1	313	313	1	16	185	95	96		5.35
46	9	Do5	C5	318	318	1	16	185	95	96		5.4
47	9	Si4b1	B4b1	313	313	1	8	370	95	96		5.5
48	9	Do5	C5	318	318	1	16	185	95	96		5.55
49	9	Re5	D5	327	327	1	16	185	95	96		5.6
50	9	Do5	C5	318	318	1	8	370	95	96		5.7
51	9	Re5	D5	327	327	1	4	741	95	96		5.9
52	9	Es	Es	-1	-1	1	8	370	100	0		6
53	9	Re5	D5	327	327	1	4	741	95	96		6.2
54	9	Do5	C5	318	318	1	8	370	95	96		6.3
55	9	Re5	D5	327	327	1	4	741	95	96		6.5
56	9	Si4b1	B4b1	313	313	1	16	185	95	96		6.55
57	9	Do5	C5	318	318	1	16	185	95	96		6.6
58	9	Si4b1	B4b1	313	313	1	8	370	95	96		6.7
59	9	Do5	C5	318	318	1	4	741	95	96		6.9
60	9	Re5	D5	327	327	1	8	370	95	96		7
61	9	Si4b1	B4b1	313	313	1	4	741	95	96		7.2
62	9	Do5	C5	318	318	1	8	370	95	96		7.3
63	9	Si4b1	B4b1	313	313	1	8	370	95	96		7.4
64	9	La4#4	A4#4	309	309	1	8	370	95	96		7.5
65	9	Sol4	G4	296	296	1	8	370	95	96		7.6
66	9	La4#4	A4#4	309	309	1	8	370	95	96		7.7
67	9	Si4b1	B4b1	313	313	1	4	741	95	96		7.9
68	9	Es	Es	-1	-1	1	8	370	100	0		8
69	9	Fa5#4	F5#4	344	344	1	4	741	95	96	2. HANE VE TESLİM	8.2
70	9	Mi5#4	E5#4	340	340	1	8	370	95	96		8.3
71	9	Re5	D5	327	327	1	4	741	95	96		8.5
72	9	Sol5	G5	349	349	1	4	741	95	96		8.7
73	9	Fa5#4	F5#4	344	344	1	4	741	95	96		8.9
74	9	Mi5#4	E5#4	340	340	1	8	370	95	96		9
75	9	Re5	D5	327	327	1	4	741	95	96		9.2
76	9	Do5	C5	318	318	1	8	370	95	96		9.3
77	9	Re5	D5	327	327	1	4	741	95	96		9.5
78	9	Do5	C5	318	318	1	8	370	95	96		9.6
79	9	Si4b1	B4b1	313	313	1	8	370	95	96		9.7
80	9	La4	A4	305	305	1	4	741	95	96		9.9
81	9	Sol4	G4	296	296	1	8	370	95	96		10
82	9	Re5	D5	327	327	1	4	741	95	96		10.2
83	9	Do5	C5	318	318	1	8	370	95	96		10.3
84	9	Re5	D5	327	327	1	4	741	95	96		10.5
85	9	Si4b1	B4b1	313	313	1	4	741	95	96		10.7
86	9	Do5	C5	318	318	1	4	741	95	96		10.9
87	9	Re5	D5	327	327	1	8	370	95	96		11
88	9	Si4b1	B4b1	313	313	1	4	741	95	96		11.2
89	9	Do5	C5	318	318	1	8	370	95	96		11.3
90	9	Re5	D5	327	327	1	4	741	95	96		11.5
91	9	Mi5#4	E5#4	340	340	1	4	741	95	96		11.7
92	9	Fa5#4	F5#4	344	344	1	4	741	95	96		11.9
93	9	Es	Es	-1	-1	1	8	370	100	0		12
