Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
83	9	Mi5	E5	336	336	1	8	417	99	84	Ol	8.333333
84	9	Fa5#3	F5#4	343	344	1	8	417	95	96		8.444445
85	9	Sol5	G5	349	349	1	4	833	95	96	du 	8.666667
86	9	Sol5	G5	349	349	1	8	417	95	78	yi	8.777778
87	9	Sol5	G5	349	349	1	4	833	95	78	ne 	9.000000
88	9	Sol5	G5	349	349	1	8	417	95	78	a	9.111111
89	9	La5	A5	358	358	1	16	208	99	78	lev	9.166667
90	9	Si5b5	B5b5	362	362	1	16	208	99	78		9.222222
91	9	La5	A5	358	358	1	16	208	99	78		9.277778
92	9	Si5b5	B5b5	362	362	1	16	208	99	78		9.333333
93	9	La5	A5	358	358	1	16	208	99	78		9.388889
94	9	Sol5	G5	349	349	1	16	208	95	78		9.444445
95	9	Sol5	G5	349	349	3	32	312	99	78	riz 	9.527778
96	9	Si5b5	B5b5	362	362	1	32	104	99	96		9.555555
97	9	La5	A5	358	358	1	16	208	99	96		9.611111
98	9	Sol5	G5	349	349	1	16	208	99	96		9.666667
99	9	Fa5#1	F5#1	341	341	1	16	208	99	96		9.722222
100	9	Mi5	E5	336	336	1	16	208	99	96		9.777778
101	9	Re5	D5	327	327	1	4	833	95	96		10.000000
102	9	Es	Es	-1	-1	1	4	833	100	0		10.222220
103	9	Do5	C5	318	318	1	4	833	95	108	dağ_	10.444440
104	9	Re5	D5	327	327	1	8	417	99	96	ı 	10.555560
105	9	Mi5	E5	336	336	1	8	417	95	96		10.666670
106	9	Mi5	E5	336	336	1	8	417	95	78	gam_	10.777780
107	9	Mi5	E5	336	336	1	4	833	95	87	ı 	11.000000
108	9	Do5	C5	318	318	1	8	417	95	96	ni	11.111110
109	9	Do5	C5	318	318	6	16	1250	95	105	hâ	11.444440
110	9	Si4	B4	314	314	1	16	208	99	114	nım  	11.500000
111	9	La4	A4	305	305	1	16	208	99	96		11.555560
112	9	Sol4#4	G4#4	300	300	1	16	208	99	96		11.611110
113	9	La4	A4	305	305	1	16	208	95	96		11.666670
114	9	Si4	B4	314	314	1	4	833	95	96		11.888890
115	1	Sol4#4	G4#4	300	300	1	16	208	95	96	SAZ	11.944440
116	1	Fa4#1	F4#1	288	288	1	16	208	95	96	.	12.000000
117	1	Mi4	E4	283	283	1	4	833	95	96	.	12.222220
118	9	Mi4	E4	283	283	1	4	833	95	96	Ol	12.444440
119	9	Sol4#4	G4#4	300	300	1	8	417	99	96	du 	12.555560
120	9	La4	A4	305	305	1	8	417	95	96		12.666670
121	10	Si4	B4	314	314	1	8	417	95	96	yi	12.777780
123	9	Do5	C5	318	318	1	16	208	99	96	ne 	12.833330
124	9	Si4	B4	314	314	1	16	208	99	96		12.888890
125	9	La4	A4	305	305	1	8	417	95	96		13.000000
126	9	Mi5	E5	336	336	1	8	417	95	78	a	13.111110
127	9	Mi5	E5	336	336	1	4	833	99	108	lev	13.333330
128	9	Re5	D5	327	327	1	8	417	95	96		13.444440
129	9	Re5	D5	327	327	3	32	312	99	96	riz 	13.527780
130	9	Fa5#1	F5#1	341	341	1	32	104	99	96		13.555560
131	9	Mi5	E5	336	336	1	16	208	99	96		13.611110
132	9	Re5	D5	327	327	1	16	208	99	96		13.666670
133	9	Do5	C5	318	318	1	16	208	99	96		13.722220
134	9	Si4	B4	314	314	1	16	208	99	96		13.777780
135	9	La4	A4	305	305	1	8	417	95	96		13.888890
136	1	Sol4#4	G4#4	300	300	1	16	208	95	96	SAZ	13.944440
137	1	Fa4#1	F4#1	288	288	1	16	208	95	96	.	14.000000
138	1	Mi4	E4	283	283	1	4	833	95	96	.	14.222220
139	9	Mi4	E4	283	283	4	16	833	95	96	dağ_	14.444440
140	9	Fa4#1	F4#1	288	288	1	8	417	99	96	ı 	14.555560
141	9	Mi4	E4	283	283	1	8	417	95	96		14.666670
142	9	Si4	B4	314	314	1	16	208	99	96	gam_	14.722220
143	9	Do5	C5	318	318	1	16	208	95	96		14.777780
144	9	Si4	B4	314	314	1	16	208	99	78	ı 	14.833330
145	9	La4	A4	305	305	1	8	417	99	90		14.944440
146	9	Sol4#4	G4#4	300	300	1	16	208	95	102		15.000000
147	9	Sol4#4	G4#4	300	300	1	16	208	99	114	ni	15.055560
148	9	La4	A4	305	305	1	16	208	95	96		15.111110
149	9	Sol4#4	G4#4	300	300	1	16	208	99	96	hâ	15.166670
150	9	Fa4#1	F4#1	288	288	1	16	208	99	96		15.222220
151	10	Fa4#1	F4#1	288	288	1	8	417	99	96		15.333330
153	9	Fa4#1	F4#1	288	288	1	16	208	99	78		15.388890
154	9	Mi4	E4	283	283	1	16	208	95	90		15.444440
155	9	Mi4	E4	283	283	1	8	417	99	102	nım  	15.555560
156	9	Fa4#1	F4#1	288	288	1	16	208	99	114		15.611110
157	10	Mi4	E4	283	283	1	16	208	99	96		15.666670
159	9	Mi4	E4	283	283	1	4	833	95	96		15.888890
