Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
122	9	Sol5	G5	349	349	1	16	217	95	96		9.950000
123	9	La5	A5	358	358	1	16	217	95	96		10.000000
124	9	Sol5	G5	349	349	1	16	217	95	96	MÜLÂZİME	10.050000
125	9	Fa5	F5	340	340	1	16	217	95	96		10.100000
126	9	Mi5	E5	336	336	1	8	435	95	96		10.200000
127	9	Fa5	F5	340	340	1	16	217	95	96		10.250000
128	9	Sol5	G5	349	349	1	16	217	95	96		10.300000
129	9	Fa5	F5	340	340	1	16	217	95	96		10.350000
130	9	Mi5	E5	336	336	1	16	217	95	96		10.400000
131	9	Re5	D5	327	327	1	8	435	95	96		10.500000
132	9	Es	Es	-1	-1	1	8	435	100	0		10.600000
133	9	Mi5	E5	336	336	1	16	217	95	96		10.650000
134	9	Fa5	F5	340	340	1	16	217	95	96		10.700000
135	9	Mi5	E5	336	336	1	16	217	95	96		10.750000
136	9	Re5	D5	327	327	1	16	217	95	96		10.800000
137	9	Do5	C5	318	318	1	8	435	95	96		10.900000
138	9	Re5	D5	327	327	1	16	217	95	96		10.950000
139	9	Mi5	E5	336	336	1	16	217	95	96		11.000000
140	9	Re5	D5	327	327	1	16	217	95	96		11.050000
141	9	Do5	C5	318	318	1	16	217	95	96		11.100000
142	9	Do5	C5	318	318	1	16	217	95	96		11.150000
143	9	Si4b2	B4b1	312	313	1	16	217	95	96		11.200000
144	9	Si4b2	B4b1	312	313	1	16	217	95	96		11.250000
145	9	La4	A4	305	305	1	16	217	95	96		11.300000
146	9	Si4b2	B4b1	312	313	1	4	870	95	96		11.500000
147	9	Es	Es	-1	-1	1	8	435	100	0		11.600000
148	9	La4	A4	305	305	1	16	217	95	96		11.650000
149	9	Si4b2	B4b1	312	313	1	16	217	95	96		11.700000
150	9	Do5	C5	318	318	1	16	217	95	96		11.750000
151	9	Re5	D5	327	327	1	16	217	95	96		11.800000
152	9	Do5	C5	318	318	1	16	217	95	96		11.850000
153	9	Si4b2	B4b1	312	313	1	16	217	95	96		11.900000
154	9	Si4b2	B4b1	312	313	1	16	217	95	96		11.950000
155	9	La4	A4	305	305	1	16	217	95	96		12.000000
156	9	Sol4	G4	296	296	3	16	652	95	96		12.150000
157	9	Do5	C5	318	318	1	16	217	95	96		12.200000
158	9	Si4b2	B4b1	312	313	1	16	217	95	96		12.250000
159	9	Do5	C5	318	318	1	16	217	95	96		12.300000
160	9	Re5	D5	327	327	1	4	870	95	96		12.500000
161	9	Es	Es	-1	-1	1	8	435	100	0		12.600000
162	9	Mi5	E5	336	336	1	16	217	95	96		12.650000
163	9	Fa5	F5	340	340	1	16	217	95	96		12.700000
164	9	Sol5	G5	349	349	1	16	217	95	96		12.750000
165	9	Fa5	F5	340	340	1	16	217	95	96		12.800000
166	9	Mi5	E5	336	336	1	16	217	95	96		12.850000
167	9	Re5	D5	327	327	1	16	217	95	96		12.900000
168	9	Do5	C5	318	318	1	16	217	95	96		12.950000
169	9	Si4b2	B4b1	312	313	1	16	217	95	96		13.000000
170	9	Do5	C5	318	318	1	4	870	95	96		13.200000
171	9	Si4b2	B4b1	312	313	1	8	435	95	96		13.300000
172	9	Re5	D5	327	327	1	8	435	95	96		13.400000
173	9	Do5	C5	318	318	1	16	217	95	96		13.450000
174	9	Si4b2	B4b1	312	313	1	16	217	95	96		13.500000
175	9	Si4b2	B4b1	312	313	1	16	217	95	96		13.550000
176	9	La4	A4	305	305	1	16	217	95	96		13.600000
177	9	Sol4	G4	296	296	1	8	435	95	96		13.700000
178	9	La4	A4	305	305	1	4	870	95	96		13.900000
179	9	Es	Es	-1	-1	1	8	435	100	0		14.000000
